name,team,1Bprob,2Bprob,3Bprob,HRprob,BA
"Jose Abreu","Chicago White Sox",0.6831,0.1749,0.0055,0.1366,0.2933
"Dustin Ackley","New York Yankees",1.0000,0.0000,0.0000,0.0000,0.1475
"Cristhian Adames","Colorado Rockies",0.7551,0.1429,0.0612,0.0408,0.2178
"Matt Adams","St. Louis Cardinals",0.5405,0.2432,0.0000,0.2162,0.2492
"Ehire Adrianza","San Francisco Giants",0.7500,0.1250,0.0000,0.1250,0.2540
"Nick Ahmed","Arizona Diamondbacks",0.7742,0.1452,0.0161,0.0645,0.2183
"Hanser Alberto","Texas Rangers",0.8750,0.1250,0.0000,0.0000,0.1429
"Abraham Almonte","Cleveland Indians",0.5417,0.4167,0.0208,0.0208,0.2637
"Albert Almora","Chicago Cubs",0.5806,0.2903,0.0323,0.0968,0.2768
"Yonder Alonso","Oakland Athletics",0.6639,0.2787,0.0000,0.0574,0.2531
"Aaron Altherr","Philadelphia Phillies",0.7436,0.1538,0.0000,0.1026,0.1970
"Jose Altuve","Houston Astros",0.6713,0.1944,0.0231,0.1111,0.3375
"Pedro Alvarez","Baltimore Orioles",0.5000,0.2381,0.0000,0.2619,0.2493
"Alexi Amarista","San Diego Padres",0.9444,0.0556,0.0000,0.0000,0.2571
"Chase Anderson","Milwaukee Brewers",1.0000,0.0000,0.0000,0.0000,0.0889
"Tim Anderson","Chicago White Sox",0.6810,0.1897,0.0517,0.0776,0.2829
"Tyler Anderson","Colorado Rockies",0.7500,0.0000,0.0000,0.2500,0.1143
"Elvis Andrus","Texas Rangers",0.6993,0.2026,0.0458,0.0523,0.3024
"Nori Aoki","Seattle Mariners",0.7288,0.2034,0.0339,0.0339,0.2830
"Orlando Arcia","Milwaukee Brewers",0.6136,0.2273,0.0682,0.0909,0.2189
"Oswaldo Arcia","Minnesota Twins",0.6364,0.1818,0.0000,0.1818,0.2136
"Oswaldo Arcia","Tampa Bay Rays",0.6429,0.1429,0.0714,0.1429,0.2593
"Oswaldo Arcia","San Diego Padres",0.4000,0.2000,0.0000,0.4000,0.1163
"Nolan Arenado","Colorado Rockies",0.5495,0.1923,0.0330,0.2253,0.2945
"Jake Arrieta","Chicago Cubs",0.7059,0.1176,0.0588,0.1176,0.2615
"Cody Asche","Philadelphia Phillies",0.5476,0.3571,0.0000,0.0952,0.2132
"Tyler Austin","New York Yankees",0.6000,0.1500,0.0000,0.2500,0.2410
"Alex Avila","Chicago White Sox",0.6389,0.1667,0.0000,0.1944,0.2130
"Mike Aviles","Detroit Tigers",0.8000,0.1429,0.0286,0.0286,0.2096
"Erick Aybar","Atlanta Braves",0.7778,0.1728,0.0247,0.0247,0.2418
"Erick Aybar","Detroit Tigers",0.7000,0.2500,0.0000,0.0500,0.2500
"Javier Baez","Chicago Cubs",0.7043,0.1652,0.0087,0.1217,0.2732
"Jett Bandy","Los Angeles Angels of Anaheim",0.6531,0.1837,0.0000,0.1633,0.2344
"Austin Barnes","Los Angeles Dodgers",0.8000,0.2000,0.0000,0.0000,0.1563
"Brandon Barnes","Colorado Rockies",0.6364,0.2727,0.0909,0.0000,0.2200
"Darwin Barney","Toronto Blue Jays",0.7467,0.1733,0.0267,0.0533,0.2688
"Tucker Barnhart","Cincinnati Reds",0.6804,0.2371,0.0103,0.0722,0.2573
"Jose Bautista","Toronto Blue Jays",0.5253,0.2424,0.0101,0.2222,0.2340
"Gordon Beckham","Atlanta Braves",0.5769,0.3077,0.0192,0.0962,0.2167
"Tim Beckham","Tampa Bay Rays",0.5510,0.2449,0.1020,0.1020,0.2475
"Josh Bell","Pittsburgh Pirates",0.6857,0.2286,0.0000,0.0857,0.2734
"Brandon Belt","San Francisco Giants",0.5570,0.2752,0.0537,0.1141,0.2749
"Adrian Beltre","Texas Rangers",0.6343,0.1771,0.0057,0.1829,0.3002
"Carlos Beltran","New York Yankees",0.6055,0.1927,0.0000,0.2018,0.3036
