name,team,DASP
"Fernando Abad","Minnesota Twins",0.0026249275362318636
"Fernando Abad","Boston Red Sox",-0.007519999999999999
"A. J. Achter","Los Angeles Angels of Anaheim",-0.12002000000000002
"Austin Adams","Cleveland Indians",-0.014338181818181833
"Tim Adleman","Cincinnati Reds",-0.04375693379790943
"Andrew Albers","Minnesota Twins",-0.019284705882352954
"Matt Albers","Chicago White Sox",-0.08093772151898734
"Raul Alcantara","Oakland Athletics",-0.07159766990291264
"Scott Alexander","Kansas City Royals",-0.017043809523809544
"Cody Allen","Cleveland Indians",0.12202545454545452
"Dan Altavilla","Seattle Mariners",0.0008133333333333326
"Dario Alvarez","Atlanta Braves",0.251496393442623
"Dario Alvarez","Texas Rangers",0.04247999999999999
"Jose Alvarez","Los Angeles Angels of Anaheim",-0.00830125000000001
"Brett Anderson","Los Angeles Dodgers",-0.12687483870967742
"Chase Anderson","Milwaukee Brewers",-0.022048593508500774
"Cody Anderson","Cleveland Indians",-0.007519999999999999
"Tyler Anderson","Colorado Rockies",-0.0004070292887029259
"Matt Andriese","Tampa Bay Rays",-0.0006888804554079919
"Elvis Araujo","Philadelphia Phillies",0.00889791044776117
"Chris Archer","Tampa Bay Rays",0.06659764705882351
"Shawn Armstrong","Cleveland Indians",-0.04842909090909092
"Jake Arrieta","Chicago Cubs",0.03147371069182389
"Alec Asher","Philadelphia Phillies",-0.0904028828828829
"Luis Avilan","Los Angeles Dodgers",0.13394341463414636
"John Axford","Oakland Athletics",0.00009245674740482324
"Pedro Baez","Los Angeles Dodgers",0.07383593220338983
"Andrew Bailey","Philadelphia Phillies",0.021646666666666647
"Andrew Bailey","Los Angeles Angels of Anaheim",-0.033606956521739145
"Homer Bailey","Cincinnati Reds",0.03572324324324325
"Johnny Barbato","New York Yankees",0.05563789473684208
"Danny Barnes","Toronto Blue Jays",0.03385931034482759
"Jacob Barnes","Milwaukee Brewers",0.03776301886792452
"Matt Barnes","Boston Red Sox",0.03986675958188152
"Tony Barnette","Texas Rangers",-0.00833300813008131
"Kyle Barraclough","Miami Marlins",0.161761045751634
"Jake Barrett","Arizona Diamondbacks",0.016479999999999995
"Chris Bassitt","Oakland Athletics",-0.03458766917293235
"Antonio Bastardo","New York Mets",0.028377435897435882
"Antonio Bastardo","Pittsburgh Pirates",0.06698980392156864
"Trevor Bauer","Cleveland Indians",-0.0003683353884093854
"Buddy Baumann","San Diego Padres",0.04247999999999999
"Chris Beck","Chicago White Sox",-0.04491837398373985
"Cam Bedrosian","Los Angeles Angels of Anaheim",0.10729481481481482
"Matt Belisle","Washington Nationals",-0.035476989247311824
"Joaquin Benoit","Seattle Mariners",0.04473225225225222
"Joaquin Benoit","Toronto Blue Jays",0.05054451612903224
"Christian Bergman","Colorado Rockies",-0.022646050420168068
"Jose Berrios","Minnesota Twins",-0.03314277580071176
"Dellin Betances","New York Yankees",0.21388468227424748
"Chad Bettis","Colorado Rockies",-0.03798683046683049
"Joe Biagini","Toronto Blue Jays",0.0026494915254237084
"Ty Blach","San Francisco Giants",-0.04622967741935485
"Aaron Blair","Atlanta Braves",-0.06554469135802471
"Joe Blanton","Los Angeles Dodgers",0.046448253968253944
"Michael Blazek","Milwaukee Brewers",-0.028415522388059722
"Richard Bleier","New York Yankees",-0.06621565217391306
"Jerry Blevins","New York Mets",0.08461483146067414
"Mike Bolsinger","Los Angeles Dodgers",-0.0026019672131147586
"Wilfredo Boscan","Pittsburgh Pirates",-0.08811701492537315
"Buddy Boshers","Minnesota Twins",0.035901052631578945
"Matthew Bowman","St. Louis Cardinals",-0.022466619217081873
"Brad Boxberger","Tampa Bay Rays",-0.014537543859649144
"Matt Boyd","Detroit Tigers",-0.008490873786407782
"Blaine Boyer","Milwaukee Brewers",-0.11532141843971633
"Brad Brach","Baltimore Orioles",0.0882999356913183
"Silvino Bracho","Arizona Diamondbacks",-0.06466285714285716
"Archie Bradley","Arizona Diamondbacks",0.016617931034482752
"Jed Bradley","Atlanta Braves",-0.0863078787878788
"Steven Brault","Pittsburgh Pirates",-0.03282120481927711
"Craig Breslow","Miami Marlins",-0.0964088888888889
"Austin Brice","Miami Marlins",0.029768135593220335
"Zach Britton","Baltimore Orioles",0.08381858267716533
"Mike Broadway","San Francisco Giants",-0.04752000000000001
"Jonathan Broxton","St. Louis Cardinals",0.012557220077220071
"Clay Buchholz","Boston Red Sox",-0.04935673469387755
"Ryan Buchter","San Diego Padres",0.1082694736842105
"Madison Bumgarner","San Francisco Giants",0.06769929824561402
"Dylan Bundy","Baltimore Orioles",0.011889282700421944
"Enrique Burgos","Arizona Diamondbacks",0.034053033707865166
"Sean Burnett","Washington Nationals",-0.07115636363636366
"Matt Bush","Texas Rangers",0.04350880658436215
"Eddie Butler","Colorado Rockies",-0.047110443686006837
"Mauricio Cabrera","Atlanta Braves",-0.009989135802469157
"Trevor Cahill","Chicago Cubs",0.024874366197183084
"Matt Cain","San Francisco Giants",-0.02615979848866501
"Arquimedes Caminero","Pittsburgh Pirates",-0.0363970053475936
"Arquimedes Caminero","Seattle Mariners",-0.013971612903225822
"Leonel Campos","San Diego Padres",0.037377959183673454
"Chris Capuano","Milwaukee Brewers",0.04719698113207546
"Matt Carasiti","Colorado Rockies",-0.0027007228915662818
"Carlos Carrasco","Cleveland Indians",0.04289736227045074
"Andrew Cashner","San Diego Padres",-0.014436426512968309
"Andrew Cashner","Miami Marlins",-0.020798008298755194
