HOME_TEAM_ID,AWAY_TEAM_ID,"avg(HOME_SCORE_CT/ (AWAY_SCORE_CT+HOME_SCORE_CT))"
ANA,ARI,0.66666667
ANA,ATL,0.74813333
ANA,BAL,0.53070588
ANA,BOS,0.42846154
ANA,CHA,0.50710000
ANA,CHN,0.50000000
ANA,CLE,0.44702222
ANA,COL,0.62150000
ANA,DET,0.70873846
ANA,HOU,0.36288000
ANA,KCA,0.50671111
ANA,LAN,0.54501818
ANA,MIL,0.36706667
ANA,MIN,0.58590625
ANA,NYA,0.57492667
ANA,OAK,0.54536316
ANA,PIT,0.30076667
ANA,SEA,0.60273947
ANA,SFN,0.69363333
ANA,SLN,0.50723333
ANA,TBA,0.35497000
ANA,TEX,0.47823784
ANA,TOR,0.45913529
ANA,WAS,0.75296667
ARI,ATL,0.48566154
ARI,BAL,0.55516667
ARI,CHA,0.41666667
ARI,CHN,0.55717647
ARI,CIN,0.42409167
ARI,CLE,0.43146667
ARI,COL,0.61248919
ARI,FLO,0.47008571
ARI,HOU,0.55770000
ARI,LAN,0.49241622
ARI,MIA,0.57207143
ARI,MIL,0.50203750
ARI,MIN,0.57776667
ARI,NYA,0.47293333
ARI,NYN,0.51677692
ARI,OAK,0.60936667
ARI,PHI,0.50954615
ARI,PIT,0.60098333
ARI,SDN,0.53031389
ARI,SEA,0.62896667
ARI,SFN,0.45215556
ARI,SLN,0.40690667
ARI,TBA,0.69325000
ARI,TEX,0.59030000
ARI,TOR,0.41565000
ARI,WAS,0.46934286
ATL,ARI,0.70328333
ATL,BAL,0.44445000
ATL,CHN,0.52913077
ATL,CIN,0.48910909
ATL,CLE,0.78333333
ATL,COL,0.68162667
ATL,DET,0.53570000
ATL,FLO,0.61993333
ATL,HOU,0.73223750
ATL,KCA,0.48754000
ATL,LAN,0.51880000
ATL,MIA,0.61012778
ATL,MIL,0.53570000
ATL,MIN,0.70540000
ATL,NYA,0.26666667
ATL,NYN,0.56590270
