HOME_TEAM_ID,AWAY_TEAM_ID,"avg(HOME_SCORE_CT > AWAY_SCORE_CT)"
ANA,ARI,0.6667
ANA,ATL,0.6667
ANA,BAL,0.5294
ANA,BOS,0.3846
ANA,CHA,0.5294
ANA,CHN,0.5000
ANA,CLE,0.5000
ANA,COL,0.6667
ANA,DET,0.7692
ANA,HOU,0.3000
ANA,KCA,0.5000
ANA,LAN,0.7273
ANA,MIL,0.3333
ANA,MIN,0.5625
ANA,NYA,0.6000
ANA,OAK,0.5000
ANA,PIT,0.0000
ANA,SEA,0.7105
ANA,SFN,0.6667
ANA,SLN,0.6667
ANA,TBA,0.2500
ANA,TEX,0.4595
ANA,TOR,0.5882
ANA,WAS,1.0000
ARI,ATL,0.5385
ARI,BAL,1.0000
ARI,CHA,0.3333
ARI,CHN,0.5294
ARI,CIN,0.3333
ARI,CLE,0.3333
ARI,COL,0.7297
ARI,FLO,0.5714
ARI,HOU,0.7000
ARI,LAN,0.4595
ARI,MIA,0.5714
ARI,MIL,0.5625
ARI,MIN,1.0000
ARI,NYA,0.3333
ARI,NYN,0.6923
ARI,OAK,1.0000
ARI,PHI,0.5385
ARI,PIT,0.5000
ARI,SDN,0.5833
ARI,SEA,0.6667
ARI,SFN,0.4167
ARI,SLN,0.4000
ARI,TBA,1.0000
ARI,TEX,1.0000
ARI,TOR,0.5000
ARI,WAS,0.4286
ATL,ARI,0.8333
ATL,BAL,0.5000
ATL,CHN,0.6154
ATL,CIN,0.6364
ATL,CLE,1.0000
ATL,COL,0.8667
ATL,DET,0.6667
ATL,FLO,0.6667
ATL,HOU,0.8750
ATL,KCA,0.8000
ATL,LAN,0.6000
ATL,MIA,0.6667
ATL,MIL,0.7143
ATL,MIN,1.0000
ATL,NYA,0.0000
ATL,NYN,0.5946
ATL,PHI,0.5405
ATL,PIT,0.7143
ATL,SDN,0.5385
ATL,SFN,0.5625
ATL,SLN,0.5714
ATL,TBA,0.6667
ATL,TEX,0.3333
ATL,TOR,0.7500
ATL,WAS,0.5405
BAL,ANA,0.5714
BAL,BOS,0.5946
BAL,CHA,0.6250
BAL,CIN,0.6667
BAL,CLE,0.4000
BAL,COL,0.6667
BAL,DET,0.5625
BAL,FLO,0.3333
BAL,HOU,0.6667
BAL,KCA,0.6000
BAL,LAN,0.6667
BAL,MIN,0.5000
BAL,NYA,0.4103
BAL,NYN,0.0000
BAL,OAK,0.5556
BAL,PHI,0.6667
BAL,PIT,1.0000
BAL,SDN,0.0000
BAL,SEA,0.6667
BAL,SLN,0.0000
BAL,TBA,0.4167
BAL,TEX,0.4000
BAL,TOR,0.5278
BAL,WAS,0.8182
BOS,ANA,0.5882
BOS,ARI,0.8333
BOS,ATL,0.6667
BOS,BAL,0.4722
BOS,CHA,0.4615
BOS,CHN,0.6667
BOS,CLE,0.6250
BOS,COL,1.0000
BOS,DET,0.7222
BOS,HOU,1.0000
BOS,KCA,0.5333
BOS,LAN,1.0000
BOS,MIA,1.0000
BOS,MIL,0.6667
BOS,MIN,0.5000
BOS,NYA,0.4722
BOS,OAK,0.6667
BOS,PHI,0.6000
BOS,SDN,0.6667
BOS,SEA,0.7857
BOS,SLN,0.6667
BOS,TBA,0.4359
BOS,TEX,0.3889
BOS,TOR,0.5135
BOS,WAS,0.0000
CHA,ANA,0.4667
CHA,ATL,0.8333
CHA,BAL,0.4286
CHA,BOS,0.5000
CHA,CHN,0.4545
CHA,CLE,0.4054
CHA,DET,0.4054
CHA,FLO,0.6667
CHA,HOU,0.5000
CHA,KCA,0.4595
CHA,LAN,0.6667
CHA,MIA,1.0000
CHA,MIL,0.6667
CHA,MIN,0.4167
CHA,NYA,0.5385
CHA,NYN,0.5000
CHA,OAK,0.5882
CHA,SEA,0.8421
CHA,TBA,0.4667
CHA,TEX,0.6429
CHA,TOR,0.5000
CHA,WAS,0.3333
CHN,ANA,0.4000
CHN,ARI,0.6923
CHN,ATL,0.3846
